unit,sex,age,acl00,geo\time	2010 	2000 
PTP_RT,F,TOTAL,AC33A,ES	7.1 	10.7 
PTP_RT,F,TOTAL,AC33A,FI	12.1 	12.9 
PTP_RT,F,TOTAL,AC33A,FR	4.9 	9.7 
PTP_RT,F,TOTAL,AC33A,HU	2.8 	: 
PTP_RT,F,TOTAL,AC33A,IT	6.9 	9.0 
PTP_RT,F,TOTAL,AC33A,LT	: 	11.6 
PTP_RT,F,TOTAL,AC33A,LU	2.8 	: 
PTP_RT,F,TOTAL,AC33A,LV	: 	10.5 
PTP_RT,F,TOTAL,AC33A,NL	4.3 	: 
PTP_RT,F,TOTAL,AC33A,NO	9.4 	13.5 
PTP_RT,F,TOTAL,AC33A,PL	3.3 	6.9 
PTP_RT,F,TOTAL,AC33A,RO	9.2 	: 
PTP_RT,F,TOTAL,AC33A,RS	6.7 	: 
PTP_RT,F,TOTAL,AC33A,SI	: 	7.4 
PTP_RT,F,TOTAL,AC33A,TR	10.4 	: 
PTP_RT,F,TOTAL,AC33A,UK	3.8 	5.3 
PTP_RT,F,TOTAL,AC342,AT	1.4 	: 
PTP_RT,F,TOTAL,AC342,BE	3.2 	0.0 
PTP_RT,F,TOTAL,AC342,BG	: 	16.5 
PTP_RT,F,TOTAL,AC342,DE	1.6 	1.6 
PTP_RT,F,TOTAL,AC342,EE	2.3 	5.8 
PTP_RT,F,TOTAL,AC342,EL	3.1 	: 
PTP_RT,F,TOTAL,AC342,ES	2.0 	2.3 
PTP_RT,F,TOTAL,AC342,FI	100 	: 
PTP_RT,F,TOTAL,AC342,FR	1.8 	3.9 
PTP_RT,F,TOTAL,AC342,HU	8.0 	: 
PTP_RT,F,TOTAL,AC342,IT	1.0 	1.2 
PTP_RT,F,TOTAL,AC342,LT	: 	11.8 
PTP_RT,F,TOTAL,AC342,LU	9.0 	: 
PTP_RT,F,TOTAL,AC342,LV	: 	5.6 
PTP_RT,F,TOTAL,AC342,NL	3.1 	: 
PTP_RT,F,TOTAL,AC342,NO	100 	: 
PTP_RT,F,TOTAL,AC342,PL	2.4 	2.6 
PTP_RT,F,TOTAL,AC342,RO	12.7 	: 
PTP_RT,F,TOTAL,AC342,RS	7.0 	: 
PTP_RT,F,TOTAL,AC342,SI	: 	11.0 
PTP_RT,F,TOTAL,AC342,TR	4.2 	: 
PTP_RT,F,TOTAL,AC342,UK	2.5 	1.2 
PTP_RT,F,TOTAL,AC343,AT	12.5 	: 
PTP_RT,F,TOTAL,AC343,BE	11.3 	11.4 
PTP_RT,F,TOTAL,AC343,BG	: 	3.1 
